task_id,pair,group1,group2,baseline_group,dtw_median_curves,dtw_ci_lo,dtw_ci_hi,l2_median_curves
d37a1ef5,pair2,human_failed,codeit_failed,B,76.8627,,,8.8197
d37a1ef5,pair3,human_success,human_failed,B,73.5545,,,8.673
d47aa2ff,pair3,human_success,human_failed,A,3.6662,,,0.8102
d492a647,pair3,human_success,human_failed,B,117.988,,,12.9535
d4b1c2b1,pair1,human_success,codeit_success,A,4.6988,1.4047,22.2798,1.5726
d4b1c2b1,pair2,human_failed,codeit_failed,A,0.0,0.0,0.0,0.0
d4b1c2b1,pair3,human_success,human_failed,A,27.6444,19.9995,47.7882,4.0691
d4b1c2b1,pair4,codeit_success,codeit_failed,A,17.0,,,3.392
d56f2372,pair2,human_failed,codeit_failed,A,0.0,,,0.0
d56f2372,pair3,human_success,human_failed,A,66.8901,,,7.2712
d5c634a2,pair2,human_failed,codeit_failed,A,19.9093,14.735,34.8662,2.9705
d5c634a2,pair3,human_success,human_failed,A,63.816,6.2932,65.8885,7.064
d931c21c,pair2,human_failed,codeit_failed,B,82.5052,,,8.4962
d931c21c,pair3,human_success,human_failed,B,22.1639,,,3.7084
d94c3b52,pair3,human_success,human_failed,B,78.4536,,,9.1992
da2b0fe3,pair2,human_failed,codeit_failed,B,215.5552,,,28.4158
da2b0fe3,pair3,human_success,human_failed,B,441.7386,,,47.0666
da515329,pair3,human_success,human_failed,B,103.9138,,,10.8653
dc2aa30b,pair3,human_success,human_failed,B,43.6372,,,5.2267
dc2e9a9d,pair3,human_success,human_failed,B,97.4726,,,15.698
dd2401ed,pair2,human_failed,codeit_failed,B,5.8237,0.0,40.765,0.6759
dd2401ed,pair3,human_success,human_failed,B,40.4246,19.5849,124.6692,5.169
de493100,pair3,human_success,human_failed,A,42.1298,,,5.2511
df8cc377,pair3,human_success,human_failed,B,28.0803,,,6.6409
e0fb7511,pair1,human_success,codeit_success,B,26.8521,18.9113,44.0403,7.4197
e0fb7511,pair3,human_success,human_failed,B,47.641,,,8.2349
e133d23d,pair1,human_success,codeit_success,A,11.4393,4.1885,15.3688,2.4499
e133d23d,pair2,human_failed,codeit_failed,A,21.6693,,,3.3969
e133d23d,pair3,human_success,human_failed,A,41.3891,,,4.9491
e133d23d,pair4,codeit_success,codeit_failed,A,4.1823,,,1.0145
e1baa8a4,pair2,human_failed,codeit_failed,A,0.0,,,0.0
e1baa8a4,pair3,human_success,human_failed,A,43.4015,,,5.3806
