task_id,pair,trace_idx,baseline_group,score_min,score_median,n_codeit
f0df5ff0,pair1,4,B,17.6289,147.2911,62
f0df5ff0,pair1,5,B,25.6965,156.0833,62
f0df5ff0,pair1,6,B,9.061,148.204,62
f4081712,pair1,0,A,6.4252,14.6756,653
f4081712,pair1,1,A,6.6805,47.1596,653
f4081712,pair1,2,A,3.6737,12.3167,653
f4081712,pair1,3,A,6.3866,14.5583,653
f4081712,pair1,4,A,6.3635,14.8336,653
f4081712,pair1,5,A,6.3635,14.8336,653
f4081712,pair1,6,A,0.9843,3.8817,653
f4081712,pair1,7,A,6.0975,17.929,653
f5aa3634,pair1,0,A,0.7207,20.2629,36
f5aa3634,pair1,1,A,1.0105,9.798,36
f5aa3634,pair1,2,A,0.532,17.2532,36
f5aa3634,pair1,3,A,1.0105,9.798,36
f5aa3634,pair1,4,A,1.5958,11.7377,36
f5aa3634,pair1,5,A,0.4481,20.7222,36
f5aa3634,pair1,6,A,2.5606,5.9499,36
f5aa3634,pair1,7,A,0.4445,9.2427,36
f5aa3634,pair1,8,A,2.6089,22.9355,36
f5aa3634,pair1,9,A,1.5958,11.7377,36
f5aa3634,pair1,10,A,0.7207,20.2629,36
f5aa3634,pair1,11,A,1.7411,6.5996,36
00576224,pair2,0,A,18.5299,19.2191,3
009d5c81,pair2,0,B,0.1706,16.4552,239
009d5c81,pair2,1,B,68.5934,398.6432,239
00dbd492,pair2,0,B,0.0,180.6931,201
0692e18c,pair2,0,A,19.5078,26.134,20
0692e18c,pair2,1,A,16.1508,22.1381,20
0692e18c,pair2,2,A,12.8769,15.3194,20
0692e18c,pair2,3,A,23.8508,30.2154,20
0692e18c,pair2,4,A,15.556,18.9139,20
0692e18c,pair2,5,A,33.1708,39.9154,20
0692e18c,pair2,6,A,35.5201,42.5102,20
0692e18c,pair2,7,A,15.556,18.9139,20
070dd51e,pair2,0,B,10.41,20.5678,38
070dd51e,pair2,1,B,1.9783,34.4452,38
070dd51e,pair2,2,B,16.0242,32.0141,38
0934a4d8,pair2,0,A,0.0,0.0,40
0934a4d8,pair2,1,A,0.0,0.0,40
0934a4d8,pair2,2,A,8.3047,8.3047,40
0934a4d8,pair2,3,A,11.9878,11.9878,40
0934a4d8,pair2,4,A,15.5393,20.3704,40
0934a4d8,pair2,5,A,9.2594,9.2594,40
0934a4d8,pair2,6,A,0.0,0.0,40
0934a4d8,pair2,7,A,27.0774,38.1071,40
0a2355a6,pair2,0,B,8.9713,17.8212,22
0a2355a6,pair2,1,B,4.0511,12.889,22
0a2355a6,pair2,2,B,9.2664,13.695,22
0b17323b,pair2,0,B,137.0307,162.5,4
0b17323b,pair2,1,B,50.0,89.4956,4
0c786b71,pair2,0,A,15.9834,17.2359,3
0c786b71,pair2,1,A,6.2033,7.6628,3
0c786b71,pair2,2,A,6.2033,7.6628,3
0c786b71,pair2,3,A,37.5964,37.5964,3
0c9aba6e,pair2,0,A,2.0592,2.8131,2
0c9aba6e,pair2,1,A,14.8039,16.2249,2
0c9aba6e,pair2,2,A,14.4498,16.1213,2
0c9aba6e,pair2,3,A,6.3447,7.0286,2
0c9aba6e,pair2,4,A,18.7733,20.1798,2
0c9aba6e,pair2,5,A,2.419,2.5709,2
0c9aba6e,pair2,6,A,19.1901,21.1575,2
0c9aba6e,pair2,7,A,36.9627,38.6641,2
12422b43,pair2,0,B,156.9546,301.7273,62
12422b43,pair2,1,B,152.5877,298.3422,62
12422b43,pair2,2,B,102.0,168.6061,62
12422b43,pair2,3,B,106.3092,196.8003,62
12422b43,pair2,4,B,145.3122,290.4303,62
12eac192,pair2,0,B,1.3307,23.8703,43
12eac192,pair2,1,B,2.5039,24.9601,43
