task_id,pair,trace_idx,baseline_group,score_min,score_median,n_codeit,len_human
15696249,pair2,1,A,2.4938,4.1111,107,20
15696249,pair2,2,A,3.0988,4.321,107,16
15696249,pair2,3,A,3.6667,6.4321,107,60
15696249,pair2,4,A,1.6667,7.8272,107,32
195ba7dc,pair2,0,A,2.7333,6.8,5,15
195ba7dc,pair2,1,A,1.0,6.9667,5,23
195ba7dc,pair2,2,A,2.4667,2.5333,5,31
1a6449f1,pair2,0,A,0.0,0.0,21,6
1a6449f1,pair2,1,A,0.0,0.0,21,8
1a6449f1,pair2,2,A,0.0,0.0,21,20
1acc24af,pair2,0,B,0.5833,1.3333,5,5
1acc24af,pair2,1,B,0.5833,1.1667,5,6
1acc24af,pair2,2,B,0.5,1.0833,5,5
1acc24af,pair2,3,B,1.6667,2.4167,5,6
1acc24af,pair2,4,B,67.6669,116.7505,5,56
1acc24af,pair2,5,B,13.0834,16.2501,5,23
1d0a4b61,pair2,0,B,5.6197,11.3803,37,5
1d0a4b61,pair2,1,B,26.8873,60.5915,37,9
27f8ce4f,pair2,0,A,3.6667,6.4198,74,55
2a5f8217,pair2,0,B,2.1429,11.3096,198,7
2c0b0aff,pair2,0,A,20.85,20.85,3,34
310f3251,pair2,0,A,0.0,1.6181,83,5
310f3251,pair2,1,A,0.0,1.6181,83,8
31d5ba1a,pair2,0,A,2.8667,3.2667,2,14
31d5ba1a,pair2,1,A,1.6,1.6,2,7
31d5ba1a,pair2,2,A,1.5333,1.8667,2,9
31d5ba1a,pair2,3,A,3.8,4.2,2,22
31d5ba1a,pair2,4,A,1.5333,1.7333,2,10
358ba94e,pair2,0,A,0.92,2.4,4,7
3b4c2228,pair2,0,A,1.7778,2.9444,206,11
42918530,pair2,0,B,32.6429,48.8929,64,12
42918530,pair2,1,B,65.1429,86.5,64,5
45bbe264,pair2,0,B,10.2564,10.2564,1,47
477d2879,pair2,0,B,4.092,4.1595,3,61
48131b3c,pair2,0,A,0.0,1.125,93,11
48131b3c,pair2,1,A,0.4375,1.4688,93,8
48131b3c,pair2,2,A,0.0,1.125,93,5
48131b3c,pair2,3,A,0.0,1.125,93,15
4852f2fa,pair2,0,A,0.0,1.0,349,20
4852f2fa,pair2,1,A,0.0,1.0,349,43
48f8583b,pair2,0,A,4.8272,5.5679,66,55
48f8583b,pair2,1,A,3.1235,4.6605,66,31
48f8583b,pair2,2,A,4.5556,7.1111,66,19
48f8583b,pair2,3,A,1.716,2.6111,66,10
48f8583b,pair2,4,A,2.2716,3.4568,66,10
48f8583b,pair2,5,A,2.4691,3.5185,66,9
48f8583b,pair2,6,A,3.0,6.4074,66,42
505fff84,pair2,0,A,0.0,0.0,1,8
505fff84,pair2,1,A,0.0,0.0,1,7
506d28a5,pair2,0,A,6.05,6.575,6,34
59341089,pair2,0,A,2.5,3.1111,18,5
5d2a5c43,pair2,0,A,1.125,2.6667,3,5
5d2a5c43,pair2,1,A,0.9583,2.6667,3,6
5d2a5c43,pair2,2,A,1.7917,5.0,3,20
5d2a5c43,pair2,3,A,2.2083,3.0,3,9
604001fa,pair2,0,B,1.075,3.4,213,9
604001fa,pair2,1,B,1.525,3.875,213,11
604001fa,pair2,2,B,2.175,5.05,213,49
604001fa,pair2,3,B,0.65,2.5,213,9
62ab2642,pair2,0,B,19.4167,19.4167,1,20
64a7c07e,pair2,0,B,1.4688,1.4688,1,8
64a7c07e,pair2,1,B,2.3438,2.3438,1,10
67b4a34d,pair2,0,A,1.1875,3.0,29,19
67b4a34d,pair2,1,A,2.9375,5.625,29,15
6df30ad6,pair2,0,B,6.84,8.94,98,27
6df30ad6,pair2,1,B,2.12,12.96,98,26
6ea4a07e,pair2,0,A,0.5556,2.3333,156,5
73ccf9c2,pair2,0,A,0.0,0.0,142,39
73ccf9c2,pair2,1,A,0.0,0.0,142,10
73ccf9c2,pair2,2,A,0.0,0.0,142,21
73ccf9c2,pair2,3,A,0.0,0.0,142,13
7bb29440,pair2,0,A,0.0,0.0,34,6
84db8fc4,pair2,0,B,1.4571,2.4857,4,14
84db8fc4,pair2,1,B,2.2857,2.7286,4,36
84db8fc4,pair2,2,B,8.3714,8.5857,4,40
84f2aca1,pair2,0,B,0.7143,2.4286,17,16
8e2edd66,pair2,0,A,4.2099,5.7778,23,16
8e2edd66,pair2,1,A,4.9383,5.8889,23,9
8e2edd66,pair2,2,A,4.9506,5.8889,23,10
8e2edd66,pair2,3,A,4.2099,5.2346,23,12
8e2edd66,pair2,4,A,1.4568,2.8272,23,15
8e2edd66,pair2,5,A,2.8025,3.4568,23,9
8e2edd66,pair2,6,A,4.8642,5.8148,23,9
8e2edd66,pair2,7,A,5.9136,12.0494,23,42
8e2edd66,pair2,8,A,5.7284,9.6667,23,33
